           Azha|        eta Eri|    5287-1076-1|          13701|         130197|             -1|             -1
             -1|       39 Eri A|    5315-2290-1|             -1|             -1|             -1|             -1
             -1|        alf Sex|    4903-1750-1|          49641|         137366|             -1|    04903-01750
             -1|       49 Ser B|     958-1468-2|             -1|             -1|             -1|             -1
             -1|         20 Hya|    5445-1781-1|          44961|         136622|             -1|             -1
             -1|          o Vir|     310-1430-1|          66200|         120004|             -1|    00310-01430
             -1|          9 Equ|     540-2121-1|         105413|         126719|             -1|    00540-02121
             -1|         25 Her|      2587-70-1|          80460|          65290|             -1|    02587-00070
             -1|         20 Aql|     5708-693-1|          94385|         143134|             -1|    05708-00693
             -1|      mu.01 Lup|    8298-4182-1|             -1|             -1|             -1|             -1
             -1|        tet Per|    3304-2737-1|          12777|          38288|             -1|             -1
             -1|         30 Oph|    5072-1228-1|          83262|         141483|             -1|    05072-01228
             -1|        1 Cam B|    3732-1027-1|             -1|          24670|             -1|             -1
             -1|      mu. Dra B|    3890-1396-1|             -1|             -1|             -1|             -1
             -1|         75 Cet|    4698-1302-1|          11791|         129959|             -1|    04698-01302
             -1|         20 Pup|    5996-2764-1|          40259|         153993|             -1|    05996-02764
             -1|        iot Lep|    5338-1445-1|          24244|         150223|             -1|    05338-01445
             -1|          g Dra|    4193-2534-1|          81660|          17188|             -1|    04193-02534
             -1|         40 Dra|    4578-1434-1|          88127|           8994|             -1|    04578-01434
             -1|      ome01 Cyg|    3581-2031-1|         101138|          49712|             -1|    03581-02031
             -1|          5 Ser|     336-1027-1|          74975|         120946|             -1|             -1
             -1|        zet Scl|    6418-1221-1|            183|             -1|             -1|    06418-01221
             -1|         17 Cam|    4085-2992-1|          25769|          13518|             -1|    04085-02992
             -1|        psi Tau|    1826-1575-1|          19205|          76461|             -1|             -1
             -1|         85 Gem|    1371-2373-1|          38722|          79799|             -1|    01371-02373
             -1|          U Cen|    8650-1846-1|          61286|             -1|             -1|    08650-01846
             -1|         33 Com|     1449-262-1|          62819|         100311|             -1|    01449-00262
             -1|        phi Boo|    3056-1900-1|          76534|          45643|             -1|    03056-01900
             -1|         84 Gem|     1375-558-1|          38495|          79768|             -1|    01375-00558
             -1|        psi Aql|    1069-3885-1|          97139|         105199|             -1|    01069-03885
             -1|         55 Per|    2380-2428-1|          20579|          57212|             -1|    02380-02428
             -1|        129 Tau|    1299-1090-1|          27265|          94848|             -1|    01299-01090
             -1|        ups Car|             -1|          48002|             -1|             -1|             -1
             -1|         22 Aur|    1859-1289-1|          25192|          77139|             -1|    01859-01289
             -1|        bet Cir|    8706-1061-1|          74824|         242384|             -1|    08706-01061
             -1|         30 Peg|     566-1004-1|         110298|         127453|             -1|    00566-01004
    Fomalhaut C|      alf PsA C|             -1|             -1|             -1|     329-202449|    06964-01226
             -1|         66 Eri|    4758-1506-1|          23794|         131777|             -1|    04758-01506
             -1|        ome Ser|     356-1276-1|          77578|         121215|             -1|    00356-01276
             -1|          P Pup|    8134-3515-1|          38164|         219035|             -1|    08134-03515
             -1|      bet Cep B|    4465-2644-1|             -1|             -1|     803-032105|    04465-02644
         SCHEAT|        bet Peg|    2243-1831-1|         113881|          90981|             -1|             -1
             -1|         56 Eri|    5321-2145-1|          22024|         131451|             -1|    05321-02145
             -1|        ups Lup|    7839-2802-1|          75439|         206597|             -1|    07839-02802
             -1|        tet CMa|    5388-2234-1|          33160|         152071|             -1|    05388-02234
             -1|        bet Equ|     541-1932-1|         105570|         126749|             -1|    00541-01932
             -1|         12 Sco|             -1|          79399|         184217|             -1|    06805-01907
             -1|        kap Crt|    5512-1093-1|          55874|         156685|             -1|    05512-01093
             -1|         26 Sgr|    6858-2986-1|          91689|         187146|             -1|    06858-02986
             -1|        gam Her|             -1|          80170|         102107|             -1|    01513-01261
             -1|          5 Cam|    3738-1761-1|          22854|          24904|             -1|    03738-01761
             -1|          4 UMi|    4561-2317-1|          69112|           7958|             -1|    04561-02317
             -1|        2 CVn B|    3017-2102-1|          59827|             -1|     654-053813|    03017-02102
             -1|         13 Lyn|    3774-2113-1|          32489|          25947|             -1|    03774-02113
             -1|         33 Ari|    1776-1396-1|          12489|          75510|             -1|    01776-01396
             -1|      eta02 Pic|    8081-1231-1|          23649|         217164|             -1|    08081-01231
             -1|        163 Car|    8610-2639-1|          48589|         237480|             -1|    08610-02639
             -1|         24 Cep|    4471-1685-1|         109400|          10265|             -1|    04471-01685
             -1|          f Vir|    4954-1496-1|          61558|         138873|             -1|             -1
             -1|        ome Eri|    4745-1841-1|          22701|         131568|             -1|             -1
             -1|         94 Psc|    1201-1724-1|           6732|          92444|             -1|    01201-01724
             -1|         16 Pup|    6004-3719-1|          39906|         153890|             -1|    06004-03719
             -1|         50 Cnc|     813-1445-1|          43121|          98117|     511-046921|    00813-01445
             -1|         17 Aqr|    5773-1119-1|         105574|         145351|             -1|    05773-01119
             -1|          4 Ser|     336-1029-1|          74689|         120920|             -1|    00336-01029
             -1|         32 Eri|             -1|          18255|             -1|             -1|             -1
             -1|         17 Crt|             -1|          56280|             -1|             -1|             -1
         Altarf|        bet Cnc|     794-1622-1|          40526|         116569|             -1|    00794-01622
             -1|         32 Com|     1449-991-1|          62807|         100309|             -1|    01449-00991
             -1|      phi02 Cet|             -1|           3909|         147470|             -1|             -1
             -1|        iot Cap|    6360-1220-1|         105515|         164346|             -1|    06360-01220
             -1|         80 Cet|     5285-251-1|          12107|         130004|             -1|    05285-00251
             -1|      gam01 Vol|    9182-1410-1|          34473|         256373|             -1|    09182-01410
             -1|      gam Lup A|    7840-1432-2|             -1|             -1|             -1|             -1
             -1|         13 And|    3238-1934-1|         115755|          53039|             -1|    03238-01934
             -1|         63 Eri|    5326-1952-1|          23221|         150060|             -1|    05326-01952
